text_a,text_b,label
"Judging from previous posts this used to be a good place , but not any longer .",place-good,1
"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff-rude,1
The food was lousy - too sweet or too salty and the portions tiny .,food-lousy,1
The food was lousy - too sweet or too salty and the portions tiny .,food-too sweet,1
The food was lousy - too sweet or too salty and the portions tiny .,food-too salty,1
The food was lousy - too sweet or too salty and the portions tiny .,food-tiny,0
The food was lousy - too sweet or too salty and the portions tiny .,portions-lousy,0
The food was lousy - too sweet or too salty and the portions tiny .,portions-too sweet,0
The food was lousy - too sweet or too salty and the portions tiny .,portions-too salty,0
The food was lousy - too sweet or too salty and the portions tiny .,portions-tiny,1
Avoid this place !,place-avoid,1
"I have eaten at Saul , many times , the food is always consistently , outrageously good .",food-good,1
Saul is the best restaurant on Smith Street and in Brooklyn .,saul-best,1
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs-out of this world,1
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs-amazing,0
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit-out of this world,0
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit-amazing,1
The wine list is interesting and has many good values .,wine list-interesting,1
The wine list is interesting and has many good values .,wine list-good values,1
I was very disappointed with this restaurant .,restaurant-disappointed,1
"Food was okay , nothing great .",food-okay,1
"Food was okay , nothing great .",food-nothing great,1
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,chow fun-dry,1
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,chow fun-greasy,0
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai-dry,0
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai-greasy,1
I/we will never go back to this place again .,place-never go back,1
"Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",service-devine,1
"Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",service-sensual,0
"Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",oysters-devine,0
"Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",oysters-sensual,1
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service-excellent,1
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service-cool,0
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service-understated,0
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor-excellent,0
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor-cool,1
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor-understated,1
I had the duck breast special on my last visit and it was incredible .,duck breast special-incredible,1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,grilled chicken special with edamame puree-enjoyed,1
I had never had Edamame pureed before but I thought it was innovative and tasty ( could 've used a bit more salt ) .,edamame pureed-innovative,1
I had never had Edamame pureed before but I thought it was innovative and tasty ( could 've used a bit more salt ) .,edamame pureed-tasty,1
"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",sake list-extensive,1
We went around 9:30 on a Friday and it had died down a bit by then so the service was great !,service-great,1
Food awesome .,food-awesome,1
Service friendly and attentive .,service-friendly,1
Service friendly and attentive .,service-attentive,1
the food is decent .,food-decent,1
This place has got to be the best japanese restaurant in the new york area .,place-best,1
Food is great .,food-great,1
Service is top notch .,service-top notch,1
We took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal-worth,1
"In the evening , this place attracted a well dressed , with it , NY crowd .",crowd-attracted,1
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food-tasty,1
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food-fresh,1
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food-refilled,1
"I am not a vegetarian but , almost all the dishes were great .",dishes-great,1
"The food here is rather good , but only if you like to wait for it .",food-good,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",somosas-like,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",somosas-disappointing,0
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",chai-like,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",chai-disappointing,0
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",chole-like,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",chole-disappointing,0
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhosas-like,0
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhosas-disappointing,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhal-like,0
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhal-disappointing,1
"The service varys from day to day- sometimes they 're very nice , and sometimes not .",service-varys,1
"Also , specify if you like your food spicy- its rather bland if you do n't .",food-bland,1
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience-pretty,1
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience-nice,1
The lava cake dessert was incredible and I recommend it .,lava cake dessert-incredible,1
The lava cake dessert was incredible and I recommend it .,lava cake dessert-recommend,1
"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro .",cosette-off-the-beaten,1
"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",restaurant-tiny,1
"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",restaurant-cozy,1
The pizza was delivered cold and the cheese was n't even fully melted !,pizza-cold,1
The pizza was delivered cold and the cheese was n't even fully melted !,pizza-was n't even fully melted,0
The pizza was delivered cold and the cheese was n't even fully melted !,cheese-cold,0
The pizza was delivered cold and the cheese was n't even fully melted !,cheese-was n't even fully melted,1
The pizza is overpriced and soggy .,pizza-overpriced,1
The pizza is overpriced and soggy .,pizza-soggy,1
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",ingredients-fancy,1
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",ingredients-good,0
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",pizza-fancy,0
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",pizza-good,1
I think I 've had some the best meals of my life at minnow .,meals-best,1
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",seafood-amazing,1
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",seafood-good,0
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",seafood-ever-changing,0
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",seafood-great surprises,0
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",wine list-amazing,0
