random_seed,dataset,ate_precision,ote_precision,aope_precision,uabsa_precision,aste_precision
0,14lap,0.8558139534883721,0.8269230769230769,0.7226720647773279,0.7411764705882353,0.625
0,14res,0.846242774566474,0.8308571428571428,0.764344262295082,0.79463243873979,0.7194752774974773
0,15res,0.8126410835214447,0.7789934354485777,0.6901960784313725,0.7299771167048055,0.627254509018036
0,16res,0.8264462809917356,0.8459958932238193,0.7554744525547445,0.7677824267782427,0.7090239410681399
0,hotel_id_v2,0.9215132693393563,0.8983501862692922,0.8525703200775946,0.9133370849746765,0.8532875368007851
17,14lap,0.8581081081081081,0.8084632516703786,0.7267441860465116,0.7184684684684685,0.6372549019607843
17,14res,0.8480565371024735,0.8489208633093526,0.774390243902439,0.8,0.7314343845371313
17,15res,0.8103837471783296,0.7734204793028322,0.6589595375722543,0.7015250544662309,0.5931558935361216
17,16res,0.819672131147541,0.8682008368200836,0.7624309392265194,0.7586912065439673,0.7158469945355191
17,hotel_id_v2,0.9222474460839954,0.9095688748685594,0.8547297297297297,0.9033333333333333,0.847457627118644
42,14lap,0.8518518518518519,0.8329571106094809,0.7087378640776699,0.7428571428571429,0.6254826254826255
42,14res,0.8432494279176201,0.8212290502793296,0.7416502946954814,0.7972190034762456,0.688780487804878
42,15res,0.8387096774193549,0.8153846153846154,0.6958250497017893,0.7414187643020596,0.6356435643564357
42,16res,0.8336842105263158,0.8497942386831275,0.7659176029962547,0.7640918580375783,0.7059925093632958
42,hotel_id_v2,0.9126807563959956,0.9003670686942842,0.8594436310395315,0.8981937602627258,0.8472622478386167
123,14lap,0.8590604026845637,0.8088888888888889,0.7274549098196392,0.7355555555555555,0.642
123,14res,0.8477751756440282,0.8426573426573427,0.7462981243830207,0.790834312573443,0.7132936507936508
123,15res,0.8126410835214447,0.7740585774058577,0.692156862745098,0.7233560090702947,0.6186770428015564
123,16res,0.8319502074688797,0.845841784989858,0.7433155080213903,0.7649484536082474,0.6882882882882883
123,hotel_id_v2,0.9140271493212669,0.9052183173588925,0.8575595527467185,0.8989450305385897,0.8546168958742633
500,14lap,0.8451327433628318,0.8314087759815243,0.710172744721689,0.7186813186813187,0.6424361493123772
500,14res,0.8416763678696159,0.8380843785632839,0.7565130260521042,0.7917146144994246,0.7131552917903067
500,15res,0.8222222222222222,0.7484787018255578,0.6685499058380414,0.7416481069042317,0.6284046692607004
500,16res,0.8368200836820083,0.8545081967213115,0.7702448210922788,0.7645833333333333,0.702048417132216
500,hotel_id_v2,0.9256948383437322,0.8993218570683359,0.8627069133398247,0.9086350974930362,0.8556851311953353
