random_seed,dataset,ate_f1,ote_f1,aope_f1,uabsa_f1,aste_f1
0,14lap,0.8241881298992162,0.7674943566591421,0.6840579710144927,0.7094594594594597,0.586977648202138
0,14res,0.8546409807355517,0.8453488372093022,0.7573604060913706,0.7988269794721408,0.7183879093198993
0,15res,0.8228571428571428,0.777656078860898,0.7055276381909549,0.7341772151898736,0.6361788617886178
0,16res,0.8525641025641025,0.8610240334378265,0.7796610169491525,0.7870967741935484,0.7284768211920529
17,14lap,0.8401323042998897,0.7856365614798695,0.7095553453169346,0.7034178610804851,0.6184586108468126
17,14res,0.8485562757807897,0.8421679571173316,0.7704752275025278,0.800942285041225,0.7273646939807791
17,15res,0.8182857142857143,0.7759562841530054,0.6792828685258964,0.7205387205387205,0.6152324431256182
17,16res,0.851063829787234,0.8755274261603375,0.783349101229896,0.7885228480340064,0.7394167450611476
42,14lap,0.8481561822125813,0.8039430449069003,0.6875,0.7363834422657951,0.6100094428706326
42,14res,0.8559814169570268,0.8448275862068966,0.7504970178926442,0.804208065458796,0.6993561168895492
42,15res,0.8406466512702079,0.8144895718990122,0.7085020242914981,0.7456846950517838,0.6484848484848486
42,16res,0.8500539374325783,0.8640167364016738,0.7805343511450382,0.7819548872180452,0.7194656488549618
123,14lap,0.843956043956044,0.7891304347826086,0.698076923076923,0.7250821467688936,0.61671469740634
123,14res,0.8507638072855465,0.8490898414562537,0.7533632286995515,0.7922307239552677,0.7182817182817184
123,15res,0.8228571428571428,0.7922912205567451,0.7095477386934673,0.7308132875143184,0.6366366366366367
123,16res,0.8586723768736617,0.866043613707165,0.775813953488372,0.7918890074706509,0.7146866230121608
500,14lap,0.8349726775956283,0.7973421926910299,0.6930320150659134,0.7124183006535948,0.6190476190476191
500,14res,0.8471001757469244,0.8536585365853658,0.7580321285140562,0.8013977868375074,0.719201995012469
500,15res,0.839002267573696,0.7776606954689146,0.6988188976377953,0.7559591373439274,0.6466466466466466
500,16res,0.8580645161290322,0.8705636743215032,0.7827751196172248,0.7854077253218883,0.7174119885823025
